,Unnamed: 0,loss,val_acc,_timestamp,_time_this_iter_s,_training_iteration,time_this_iter_s,done,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,config/train_loop_config/FUSION_N,config/train_loop_config/SCALING_N,config/train_loop_config/batch_size,config/train_loop_config/dataset,config/train_loop_config/gamma,config/train_loop_config/lr,config/train_loop_config/momentum,config/train_loop_config/seed,logdir
31,5,2.2333927154541016,0.19769999384880066,1682380984,6.903576850891113,50,6.9021384716033936,True,50,b38f6_F0003,517038c8245f4f91ab141d03f3773962,2023-04-25_08-03-04,1682380984,357.4703271389008,3223969,slabgpu03,10.100.79.96,357.4703271389008,0,50,0.1156482696533203,8,8,512,cifar10,0.23,0.00030000000000000003,0.589,10,/home/qhhu/ray_results/HydroTrainer_b38f6_F0003_hydro_2023-04-25_07-57-03
32,5,1.7974932193756104,0.29420000314712524,1682380984,6.903576850891113,50,6.9021384716033936,True,50,b38f6_F0003,517038c8245f4f91ab141d03f3773962,2023-04-25_08-03-04,1682380984,357.4703271389008,3223969,slabgpu03,10.100.79.96,357.4703271389008,0,50,0.1156482696533203,8,8,512,cifar10,0.4,0.00030000000000000003,0.914,10,/home/qhhu/ray_results/HydroTrainer_b38f6_F0003_hydro_2023-04-25_07-57-03
33,5,0.8405677676200867,0.7020999789237976,1682380984,6.903576850891113,50,6.9021384716033936,True,50,b38f6_F0003,517038c8245f4f91ab141d03f3773962,2023-04-25_08-03-04,1682380984,357.4703271389008,3223969,slabgpu03,10.100.79.96,357.4703271389008,0,50,0.1156482696533203,8,8,512,cifar10,0.16,0.0067,0.912,10,/home/qhhu/ray_results/HydroTrainer_b38f6_F0003_hydro_2023-04-25_07-57-03
34,5,0.871097981929779,0.6908999681472778,1682380984,6.903576850891113,50,6.9021384716033936,True,50,b38f6_F0003,517038c8245f4f91ab141d03f3773962,2023-04-25_08-03-04,1682380984,357.4703271389008,3223969,slabgpu03,10.100.79.96,357.4703271389008,0,50,0.1156482696533203,8,8,512,cifar10,0.31,0.024,0.603,10,/home/qhhu/ray_results/HydroTrainer_b38f6_F0003_hydro_2023-04-25_07-57-03
35,5,1.8837295770645142,0.27129998803138733,1682380984,6.903576850891113,50,6.9021384716033936,True,50,b38f6_F0003,517038c8245f4f91ab141d03f3773962,2023-04-25_08-03-04,1682380984,357.4703271389008,3223969,slabgpu03,10.100.79.96,357.4703271389008,0,50,0.1156482696533203,8,8,512,cifar10,0.47000000000000003,0.0002,0.882,10,/home/qhhu/ray_results/HydroTrainer_b38f6_F0003_hydro_2023-04-25_07-57-03
36,6,0.6341332197189331,0.7803999781608582,1682381761,15.44533085823059,50,15.17273235321045,True,50,b38f6_F0004,6a41abb6434a4f2684ca4d1a12c707ab,2023-04-25_08-16-01,1682381761,773.025960445404,3451196,slabgpu03,10.100.79.96,773.025960445404,0,50,0.1091928482055664,8,8,128,cifar10,0.14,0.1102,0.584,10,/home/qhhu/ray_results/HydroTrainer_b38f6_F0004_hydro_2023-04-25_08-03-04
37,6,1.1772640943527222,0.6018999814987183,1682381761,15.44533085823059,50,15.17273235321045,True,50,b38f6_F0004,6a41abb6434a4f2684ca4d1a12c707ab,2023-04-25_08-16-01,1682381761,773.025960445404,3451196,slabgpu03,10.100.79.96,773.025960445404,0,50,0.1091928482055664,8,8,128,cifar10,0.54,0.2675,0.675,10,/home/qhhu/ray_results/HydroTrainer_b38f6_F0004_hydro_2023-04-25_08-03-04
38,6,1.3911685943603516,0.515999972820282,1682381761,15.44533085823059,50,15.17273235321045,True,50,b38f6_F0004,6a41abb6434a4f2684ca4d1a12c707ab,2023-04-25_08-16-01,1682381761,773.025960445404,3451196,slabgpu03,10.100.79.96,773.025960445404,0,50,0.1091928482055664,8,8,128,cifar10,0.32,0.3309,0.881,10,/home/qhhu/ray_results/HydroTrainer_b38f6_F0004_hydro_2023-04-25_08-03-04
39,6,0.7621448636054993,0.7368999719619751,1682381761,15.44533085823059,50,15.17273235321045,True,50,b38f6_F0004,6a41abb6434a4f2684ca4d1a12c707ab,2023-04-25_08-16-01,1682381761,773.025960445404,3451196,slabgpu03,10.100.79.96,773.025960445404,0,50,0.1091928482055664,8,8,128,cifar10,0.51,0.039,0.672,10,/home/qhhu/ray_results/HydroTrainer_b38f6_F0004_hydro_2023-04-25_08-03-04
40,6,1.2632458209991455,0.5363999605178833,1682381761,15.44533085823059,50,15.17273235321045,True,50,b38f6_F0004,6a41abb6434a4f2684ca4d1a12c707ab,2023-04-25_08-16-01,1682381761,773.025960445404,3451196,slabgpu03,10.100.79.96,773.025960445404,0,50,0.1091928482055664,8,8,128,cifar10,0.77,0.0001,0.967,10,/home/qhhu/ray_results/HydroTrainer_b38f6_F0004_hydro_2023-04-25_08-03-04
